Abbreviate	minubo
Absolutely	hingpit nga
Absorption	pagsuyop
Acceptable	madawat
Achievable	makab-ot
Additional	dugang
Admiration	pagdayeg
Adolescent	batan-on
Adulterant	mananapaw
Adventurer	adventurer
Afterwards	pagkahuman
Aggression	agresyon
Alteration	pagbag-o
Ambassador	embahador
Analytical	analitiko
Antibiotic	antibiotic
Anticipate	magpaabut
Appreciate	pagpasalamat
Artificial	artipisyal
Aspiration	pangandoy
Assignment	asaynment
Atmosphere	atmospera
Attachment	kasuod
Attraction	atraksyon
Chloroform	chloroform
Combustion	pagkasunog
Commission	komisyon
Compassion	kalooy
Compulsory	obligado
Conclusion	konklusyon
Confection	confection
Corruption	korapsyon
Decoration	dekorasyon
Dedication	dedikasyon
Deficiency	kakulangan
Definition	kahulugan
Department	departamento
Depression	depresyon
Dictionary	diksiyonaryo
Discipline	disiplina
Disclaimer	disclaimer
Disclosure	pagbutyag
Discussion	panaghisgot
Efficiency	pagkaepisyente
Employment	panarbaho
Engagement	engagement
Everything	tanan
Everywhere	bisan asa
Exhibition	eksibit
Experience	kasinatian
Experiment	eksperimento
Expiration	pag-expire
Expression	ekspresyon
Fertilizer	abono
Foundation	pundasyon
Generation	kaliwatan
Government	gobyerno
Importance	kamahinungdanon
Impossible	imposible
Inadequate	kulang
Incomplete	dili kompleto
Incredible	dili katuohan
Individual	indibiduwal
Inspection	inspeksyon
Instrument	instrumento
Irrigation	irigasyon
Journalism	journalism
Management	pagdumala
Moderation	pagkamakasaranganon
Motivation	kadasig
Negligible	walay bili
Occupation	trabaho
Particular	partikular
Passionate	madasigon
Permission	pagtugot
Population	populasyon
Production	produksyon
Prostitute	bigaon
Protection	pagpanalipod
Psychology	sikolohiya
Punishment	silot
Quarantine	kuwarantin
Retirement	pagretiro
Sufficient	igo
Supervisor	superbisor
Supplement	suplemento
University	unibersidad
Vegetarian	vegetarian
Visibility	visibility
Vulnerable	mahuyang
