Act	lihok
Add	idugang
Age	edad
Aim	tumong
Air	hangin
All	tanan
And	ug
Ant	hulmigas
Any	bisan unsa
Ask	pangutana
Bad	daotan
Big	dako
Buy	pagpalit
Cry	naghilak
Dam	dam
Die	mamatay
Dry	uga
End	katapusan
Ear	dalunggan
Eat	kaon
Egg	itlog
Eye	mata
Fat	tambok
Fly	lupad
Fun	lingaw
Get	kuhaa
God	Dios
Hen	himungaan
Hot	init
Job	trabaho
Leg	bitiis
Lie	bakak
Low	ubos
Mad	buang
Man	tawo
Not	dili
Now	karon
New	bag-o nga
Old	tigulang
Own	kaugalingon
Run	dagan
Sad	makaguol
Sea	dagat
See	tan-awa
Shy	maulawon
Sit	lingkod
Sum	sum
Sun	adlaw
Tax	buhis
Try	pagsulay
Use	paggamit
War	gubat
Wet	basa
Why	ngano
Win	daog
Yes	oo
You	ikaw
