Absent	wala diha
Accept	dawata
Admire	pagdayeg
Advice	tambag
Almost	hapit
Always	kanunay
Animal	mananap
Answer	tubag
Appeal	apela
Appear	nagpakita
Arrive	moabot
Artist	artista
Assist	pagtabang
Attack	pag-atake
Attach	ilakip
Attend	pagtambong
Bangle	bangle
Before	kaniadto
Behind	sa luyo
Bellow	ubus
Better	mas maayo
Borrow	manghulam
Bottom	ubos
Broken	nabuak
Budget	badyet
Cancel	kanselahon
Cancer	kanser
Carrot	karot
Cattle	baka
Common	komon
Compel	pugson
Corner	eskina
Couple	magtiayon
Course	kurso
Create	paghimo
Custom	kostumbre
Damage	kadaot
Dancer	mananayaw
Danger	kakuyaw
Decade	dekada
Defeat	kapildihan
Delete	tangtangon
Demand	panginahanglan
Desire	tinguha
Detail	detalye
Dinner	panihapon
Divine	balaanon
Donkey	asno
Double	doble
Edible	makaon
Effect	epekto
Either	bisan
Empire	imperyo
Energy	kusog
Enough	igo
Ensure	pagsiguro
Entire	tibuok
Except	gawas
Expand	pagpalapad
Expect	magdahum
Export	eksport
Extend	lugwayan
Facade	atubangan
Family	pamilya
Famous	sikat
Faulty	sayop
Favour	pabor
Female	babaye
Fiance	uyab
Finish	paghuman
Flower	bulak
Forest	kalasangan
Forgot	nakalimot
Freeze	freeze
Friend	higala
Future	sa umaabot
Garage	garahe
Garden	tanaman
Garlic	ahos
Ginger	luya
Global	global
Ground	yuta
Growth	pagtubo
Health	panglawas
Hidden	gitago
Honest	matinud-anon
Honour	dungog
Hostel	hostel
Humble	mapaubsanon
Hungry	gigutom
Ignore	ibaliwala
Impact	epekto
Impure	hugaw
Income	kita
Inform	ipahibalo
Insect	insekto
Inside	sulod
Jungle	kalasangan
Kidnap	kidnap
Kindle	mosiga
Labour	paghago
Leader	lider
Length	gitas-on
Letter	sulat
Liquid	likido
Little	gamay
Living	buhi
Lizard	tuko
Locate	pangitaa
Luxury	luho
Making	paghimo
Mammal	mammal
Manage	pagdumala
Manual	manwal
Market	merkado
Mental	pangutok
Method	pamaagi
Middle	tunga-tunga
Monkey	unggoy
Mother	inahan
Muscle	kaunoran
Narrow	pig-ot
Native	lumad
Nature	kinaiyahan
Normal	normal
Number	numero
Object	butang
Office	opisina
Option	kapilian
Parent	ginikanan
Parrot	parrot
People	mga tawo
Person	tawo
Pickle	atsara
Picnic	piknik
Pigeon	salampati
Planet	planeta
Please	Palihug
Plenty	daghan
Police	pulis
Potato	patatas
Praise	pagdayeg
Prayer	pag-ampo
Pretty	gwapa
Prince	principe
Profit	ganansya
Proper	husto
Public	publiko
Rabbit	koneho
Recent	bag-o lang
Recipe	resipe
Record	rekord
Reduce	pagkunhod
Regret	pagmahay
Reject	isalikway
Remind	pahinumdom
Remove	kuhaa
Repair	pag-ayo
Repeat	subli
Return	pagbalik
Rotate	tuyok
Safety	kaluwasan
Salary	sweldo
Sample	sample
School	eskwelahan
Screen	screen
Script	script
Scroll	linukot nga basahon
Search	pangitaa
Season	panahon
Secret	sekreto
Secure	luwas
Select	pilia
Senior	tigulang
Shield	taming
Should	kinahanglan
Shower	pagligo
Silent	hilom
Single	ulitawo
Sister	igsoon nga babaye
Smooth	hamis nga
Social	sosyal
Speech	sinultihan
Street	dalan
Strong	lig-on
Sudden	kalit
Summer	ting-init
Supply	suplay
Talent	talento
Temple	templo
Thread	hilo
Thrill	kulbaan
Throat	tutunlan
Tittle	tittle
Toilet	kasilyas
Tomato	kamatis
Tongue	dila
Travel	pagbiyahe
Tunnel	tunel
Turtle	pawikan
Unseen	dili makita
Update	update
Urgent	dinalian
Useful	nga mapuslanon
Vacate	bakante
Vacuum	haw-ang
Vapour	alisngaw
Verify	verify
Virgin	birhen
Wealth	bahandi
Weekly	kada semana
Weight	gibug-aton
Winter	tingtugnaw
Winner	mananaog
Wonder	katingala
Worker	trabahante
Writer	magsusulat
Yearly	kada tuig
