Abnormal	abnormal
Absolute	hingpit
Accepted	gidawat
Accident	aksidente
Accuracy	katukma
Activate	pagpaaktibo
Addition	pagdugang
Adequate	igo
Affected	apektado
Alphabet	alpabeto
Anything	bisan unsa
Anywhere	bisan asa
Appraise	pagtimbang-timbang
Approach	pagduol
Approval	pagtugot
Argument	argumento
Assemble	magtipon
Attitude	kinaiya
Audience	mamiminaw
Attorney	abogado
Aviation	abyon
Backward	atras
Beginner	beginner
Birthday	adlawng natawhan
Bleeding	nagdugo
Building	bilding
Campaign	kampanya
Carriage	karwahe
Children	mga bata
Cleavage	cleavage
Complete	kompleto
Conserve	pagkonserbar
Consider	hunahunaa
Consumer	konsumidor
Continue	magpadayon
Criminal	kriminal
Critical	kritikal
Daughter	anak nga babaye
Decision	desisyon
Decrease	pagkunhod
Delicate	delikado
Delivery	paghatod
Delusion	limbong
Describe	ihulagway
Disagree	dili mouyon
Disallow	dili motugot
Duration	gidugayon
Economic	ekonomikanhon
Elephant	elepante
Eligible	angayan
Employee	empleyado
Enormous	dako kaayo
Entrance	entrada
Envelope	sobre
Estimate	banabana
Everyday	kada adlaw
Exercise	ehersisyo
Explicit	klaro
Exposure	pagka-ekspos
External	gawas
Facility	pasilidad
Faithful	matinud-anon
Favorite	paborito
Festival	pista
Flexible	flexible
Friction	panagbingkil
Generate	makamugna
Greeting	pangumusta
Guardian	magbalantay
Heritage	kabilin
Horrible	makalilisang
Hospital	ospital
Humorous	kataw-anan
Identity	pagkatawo
Incident	panghitabo
Increase	pagdugang
Indicate	nagpaila
Industry	industriya
Jealousy	pangabugho
Learning	pagkat-on
Location	lokasyon
Majority	kadaghanan
Marriage	kaminyoon
Material	materyal nga
Medicine	tambal
Moderate	kasarangan
Mosquito	lamok
Mountain	bukid
Narrator	tigsaysay
Nutrient	sustansya
Opposite	atbang
Original	orihinal
Ornament	dayandayan
Painting	pagpintal
Particle	partikulo
Patience	pasensya
Pleasure	kalipay
Position	posisyon
Positive	positibo
Possible	posible
Postpone	i-postpone
Powerful	gamhanan
Precious	bililhon
Pregnant	mabdos
Pressure	pressure
Previous	kaniadto
Progress	pag-uswag
Prohibit	pagdili
Property	kabtangan
Purchase	pagpalit
Quantity	gidaghanon
Recovery	pagkaayo
Regional	rehiyonal
Relevant	may kalabutan
Religion	relihiyon
Remember	hinumdumi
Research	panukiduki
Resource	kahinguhaan
Response	tubag
Restrict	pugong
Revision	rebisyon
Sensible	maalamon
Sentence	sentensiya
Separate	bulag
Stranger	estranghero
Strategy	estratehiya
Strength	kusog
Struggle	pakigbisog
Suitable	angay
Superior	labaw
Surprise	katingala
Swelling	paghubag
Terrible	makalilisang
Together	kauban
Tomorrow	ugma
Training	pagbansay
Transfer	pagbalhin
Transmit	ipadala
Treasure	bahandi
Umbrella	payong
Universe	uniberso
Vacation	bakasyon
Validate	validate
Vertical	patindog
Vigorous	kusog
Violence	kapintasan
Vocation	bokasyon
Vomiting	nagsuka-suka
Wildlife	wildlife
Yielding	pagpaabot
Yourself	imong kaugalingon
Youthful	batan-on
