Abbreviation	abbreviation
Administrate	magdumala
Appreciation	apresasyon
Accommodation	kapuy-an
Accompaniment	duyog
Administrator	tigdumala
Advertisement	advertisement
Administration	administrasyon
Acknowledgement	pag-ila
Conformation	pagpahiuyon
Conservation	konserbasyon
Constitution	konstitusyon
Construction	pagtukod
Contribution	kontribusyon
Communication	komunikasyon
Classification	klasipikasyon
Congratulation	pahalipay
Disadvantage	Disbentaha
Entrepreneur	negosyante
Entertainment	kalingawan
Extraordinary	talagsaon nga
Horticulture	hortikultura
Intermediate	intermediate
Introduction	pasiuna
Investigation	imbestigasyon
International	internasyonal
Identification	pag-ila
Justification	pagkamatarong
Knowledgeable	kahibalo
Maintainable	mamintinar
Organization	organisasyon
Presentation	presentasyon
Preservation	pagpreserbar
Purification	pagputli
Participation	partisipasyon
Registration	pagparehistro
Reproduction	pagpanganak
Satisfaction	katagbawan
Self confidence	salig sa kaugalingon
Transformation	pagbag-o
Transportation	transportasyon
