Accommodate	accommodate
Achievement	kalampusan
Acknowledge	moila
Affirmation	pagmatuod
Aggregation	panagtapok
Agriculture	agrikultura
Alternation	alternation
Anniversary	anibersaryo
Application	aplikasyon
Appointment	appointment
Appreciable	mapasalamaton
Approximate	banabana
Association	asosasyon
Certificate	sertipiko
Competition	kompetisyon
Cultivation	pagtikad
Corporation	korporasyon
Cooperation	kooperasyon
Dehydration	dehydration
Discontinue	hunong na
Elimination	pagwagtang
Environment	palibot
Evaporation	pag-alisngaw
Examination	pagsusi
Expenditure	paggasto
Fabrication	pagmugna
Improvement	kalamboan
Independent	independente
Information	impormasyon
Inspiration	inspirasyon
Institution	institusyon
Instruction	pagtudlo
Intelligent	intelihente
Manufacture	paghimo
Measurement	pagsukod
Mensuration	pagregla
Observation	obserbasyon
Opportunity	kahigayonan
Participant	partisipante
Performance	pasundayag
Preparation	pagpangandam
Significant	mahinungdanon
Temperature	temperatura
Translation	paghubad
Transparent	transparent
Vaccination	pagbakuna
