Also	usab
Baby	bata
Back	balik
Bake	pagluto
Bald	upaw
Ball	bola
Bark	panit
Bath	pagkaligo
Beet	beet
Bend	liko
Best	labing maayo
Bird	langgam
Bold	maisugon
Bone	bukog
Book	libro
Born	natawo
Both	duha
Busy	busy
Call	tawag
Calm	kalmado
Care	pag-atiman
Come	umari
Cost	gasto
Cute	cute
Crow	uwak
Dare	mangahas
Dark	ngitngit
Date	petsa
Deal	deal
Diet	pagkaon
Dish	pinggan
Door	pultahan
Down	ubos
Dust	abog
Each	matag usa
Earn	mokita
Easy	sayon
Edge	ngilit
Evil	daotan
Exit	paggawas
Face	nawong
Fact	kamatuoran
Fair	patas
Fake	peke
Farm	umahan
Fast	paspas
Fear	kahadlok
Feel	gibati
Find	pangitaa
Fine	maayo
Fish	isda
Food	pagkaon
Fool	buang
Free	libre
Frog	baki
Full	puno
Gape	nganga
Gift	gasa
Girl	babaye
Goat	kanding
Good	maayo
Grab	gunitan
Grow	motubo
Half	katunga
Hate	pagdumot
Head	ulo
Hear	makadungog
Heat	init
Help	tabang
Here	dinhi
Hide	itago
High	taas
Hold	paghawid
Hole	lungag
Home	balay
Huge	dako
Hurt	masakitan
Idea	ideya
Jump	ambak
Just	lang
Kill	pagpatay
Land	yuta
Last	katapusan
Late	ulahi
Left	sa wala
Life	kinabuhi
Line	linya
Lion	leon
Long	dugay
Look	tan-awa
Lost	nawala
Love	gugma
Luck	suwerte
Lung	baga
Many	daghan
Meet	magkita
Melt	matunaw
Milk	gatas
Must	kinahanglan
Name	ngalan
Near	duol
Neat	hapsay
Neck	liog
Need	kinahanglan
Next	sunod
Only	lamang
Pain	kasakit
Pair	parisan
Park	parke
Path	dalan
Play	pagdula
Poor	kabus
Pull	pagbitad
Pure	putli
Quit	moundang
Quiz	quiz
Race	lumba
Rain	ulan
Rare	talagsa ra
Real	tinuod
Rent	abang
Rest	pahulay
Rich	dato
Ride	sakay
Rise	pagbangon
Risk	risgo
Room	lawak
Rope	pisi
Rude	bastos
Sage	maalamon
Sail	layag
Salt	asin
Same	parehas ra
Sand	balas
Save	pagluwas
Scam	ilad
Seed	liso
Seek	pangitaa
Self	kaugalingon
Sell	ibaligya
Send	ipadala
Shop	tindahan
Show	ipakita
Sick	masakiton
Side	kilid
Site	site
Size	gidak-on
Skin	panit
Slow	hinay
Soft	humok
Soil	yuta
Some	ang uban
Soon	sa dili madugay
Stay	magpabilin
Stop	hunong
Such	ingon niana
Swap	pagbayloay
Swim	paglangoy
Take	kuhaa
Talk	pagsulti
Tall	taas
Team	team
Tell	isulti
Tent	tolda
That	nga
Then	unya
Thin	nipis
This	kini
Tide	sulog
Time	panahon
Tour	tour
Town	lungsod
Tree	kahoy
Trip	biyahe
Turn	liko
Ugly	ngil-ad
Vase	plorera
Vein	ugat
Very	kaayo
View	panglantaw
Wage	sweldo
Wait	paghulat
Wake	pagmata
Walk	lakaw
Wall	bungbong
Want	gusto
Warm	init
Warn	pahimangno
Weak	huyang
Wear	magsul-ob
Week	semana
Well	maayo
Went	miadto
What	Unsa
When	kanus-a
Wide	lapad
Wife	asawa
Wild	ihalas
Will	kabubut-on
Wind	hangin
Wine	bino
Wish	gusto
Wood	kahoy
Wool	balhibo sa karnero
Word	pulong
Work	trabaho
Worm	ulod
Yarn	hilo
Your	imong
Zoom	pag-zoom
