Achieve	makab-ot
Advance	abante
Against	batok
Already	na
Ancient	karaan
Anybody	bisan kinsa
Approve	mouyon
Apology	pasaylo
Archive	archive
Arrange	paghikay
Arrival	pag-abot
Article	artikulo
Attempt	pagsulay
Attract	pagdani
Average	average
Bandage	bendahe
Barrage	barrage
Barrier	babag
Because	kay
Benefit	kaayohan
Between	tali sa
Cabbage	repolyo
Capture	pagdakop
Careful	pag-amping
Carrier	tigdala
Century	siglo
Certain	sigurado
Chamber	lawak
Chapter	kapitulo
Charity	gugmang putli
Climate	klima
Coconut	lubi
Collect	pagkolekta
College	kolehiyo
Comfort	kaharuhay
Command	sugo
Comment	komentaryo
Company	kompanya
Compare	itandi
Concept	konsepto
Concern	kabalaka
Conduct	paggawi
Confirm	sa pagmatuod sa
Connect	sumpay
Contact	kontak
Control	kontrol
Convert	kinabig
Correct	husto
Costume	costume
Cottage	cottage
Country	nasud
Courage	kaisog
Cucumber	pipino
Curious	kahibaw
Declare	ipahayag
Defense	depensa
Dentist	dentista
Deposit	deposito
Despite	bisan pa
Destiny	kapalaran
Destroy	gub-on
Develop	pagpalambo
Disease	sakit
Display	display
Disturb	disturbo
Dynasty	dinastiya
Eagerly	mahinamon
Earning	pagkita
Eatable	makaon
Ecology	ekolohiya
Economy	ekonomiya
Edition	edisyon
Elegant	elegante
Enhance	pauswagon
Episode	episode
Example	pananglitan
Evening	gabii
Exclude	dili iapil
Explain	ipasabot
Explore	pagsuhid
Educate	edukar
Factory	pabrika
Failure	kapakyasan
Feature	bahin
Finance	bayronon
Flavour	lami
Fluency	pagkalunsay
Forever	hangtod sa hangtod
Further	dugang pa
Garment	sinina
General	heneral
Genuine	tinuod
Glamour	glamour
Grammar	gramatika
Grocery	grocery
Habitat	pinuy-anan
Harmful	makadaot
Harvest	ani
Heading	ulohan
Hearing	paminaw
Helpful	makatabang
History	kasaysayan
Holding	nagkupot
Holiday	holiday
Hundred	gatos
Husband	bana
Hygiene	hygiene
Impress	impress
Improve	sa pagpalambo sa
Include	apil
Initial	inisyal
Inspect	pagsusi
Inspire	makapadasig
Journey	panaw
Justice	hustisya
Leading	nanguna
Leather	panit
Leaving	pagbiya
Lecture	lecture
Liberal	liberal
Lovable	higugmaon
Luggage	bagahe
Manager	manedyer
Maximum	maximum
Meaning	kahulogan
Measure	sukod
Medical	medikal
Message	mensahe
Migrant	migrante
Mineral	mineral
Minimum	minimum
Miracle	milagro
Missile	misil
Missing	nawala
Mistake	sayop
Morning	buntag
Mustard	mustasa
Mystery	misteryo
Narrate	isaysay
Natural	natural
Naughty	maldito
Neglect	pagpabaya
Neither	ni
Nervous	gikulbaan
Network	network
Nothing	wala
Observe	obserbahan
Opening	pagbukas
Operate	operate
Opinion	opinyon
Organic	organiko
Ostrich	ostrich
Package	pakete
Painful	masakit
Partial	partial
Passage	agianan
Patient	pasyente
Payment	pagbayad
Penalty	silot
Pending	pending
Penguin	penguin
Pension	pensiyon
Perfect	perpekto
Perfume	pahumot
Popular	sikat
Pottery	pottery
Poverty	kakabos
Prevent	pagpugong
Privacy	pribasiya
Private	pribado
Problem	problema
Produce	makapatungha
Propose	mosugyot
Purpose	katuyoan
Quality	kalidad
Quickly	dali
Receive	makadawat
Regular	regular
Related	may kalabutan
Release	buhian
Replace	ilisan
Reptile	reptilya
Request	hangyo
Respect	pagtahud
Respond	tubag
Revenge	panimalos
Revenue	kita
Reverse	balihon
Robbery	pagpanulis
Romance	romansa
Science	siyensya
Serious	seryoso
Servant	alagad
Service	serbisyo
Similar	susama
Society	katilingban
Sparrow	goryon
Special	espesyal
Stomach	tiyan
Student	estudyante
Success	kalampusan
Suggest	sugyot
Suicide	paghikog
Support	suporta
Suspend	suspensohon
Teacher	magtutudlo
Teenage	tin-edyer
Tension	tensiyon
Tourism	turismo
Trouble	kasamok
Uniform	uniporme
Utility	utility
Vacancy	bakante
Variety	lainlain
Vehicle	sakyanan
Village	balangay
Vintage	vintage
Victory	kadaugan
Violent	bayolente
Visible	makita
Visitor	bisita
Vitamin	bitamina
Walking	paglakaw
Wanting	gusto
Warning	pasidaan
Wealthy	adunahan
Weather	panahon
Wedding	kasal
Welcome	welcome
Welfare	kaayohan
Winning	nadaug
Working	nagtrabaho
Worried	nabalaka
Worship	pagsimba
Writing	pagsulat
