Above	sa ibabaw
Adapt	ipahiangay
Admit	moangkon
Adult	hamtong
After	pagkahuman
Again	pag-usab
Agree	mouyon
Alert	alerto
Allow	tugoti
Alone	nag-inusara
Along	kauban
Anger	kasuko
Angle	anggulo
Angry	nasuko
Asset	asset
Avoid	likayan
Awake	nagmata
Aware	nahibalo
Begin	magsugod
Birth	pagkatawo
Blood	dugo
Brain	utok
Built	gitukod
Bring	pagdala
Build	pagtukod
Camel	kamelyo
Canal	kanal
Carry	dad-on
Cheap	barato
Cheat	manglimbong
Check	susiha
Chest	dughan
Claim	pag-angkon
Clean	limpyo
Clear	klaro
Climb	mosaka
Close	suod nga
Cloth	panapton
Cloud	panganod
Color	kolor
Crime	krimen
Crowd	panon sa katawhan
Crown	korona
Daily	adlaw-adlaw
Dance	sayaw
Death	kamatayon
Decay	pagkadunot
Delay	paglangan
Devil	yawa
Dirty	hugaw
Dress	sinina
Drink	inom
Drive	magmaneho
Dwell	mupuyo
Eager	naghinamhinam
Eagle	agila
Early	sa sayo
Earth	yuta
Elder	tigulang
Empty	walay sulod
Enemy	kaaway
Enjoy	malingaw
Entry	pagsulod
Equal	managsama
Essay	essay
Event	panghitabo
Every	matag
Exact	eksakto
Exist	anaa
Extra	dugang
Faith	pagsalig
Fault	sayop
Fever	hilanat
Field	kapatagan
Final	katapusan
Fleet	panon sa mga sakayan
Float	lutaw
Flood	baha
Floor	salog
Flour	harina
Fluid	pluwido
Focus	focus
Force	pwersa
Fraud	pagpanglimbong
Fresh	lab-as
Front	atubangan
Fruit	prutas
Ghost	kalag
Globe	globo
Going	moadto
Grain	mga lugas
Grant	paghatag
Grass	balili
Great	dako
Group	grupo
Guard	bantay
Guest	bisita
Habit	batasan
Heart	kasingkasing
Honey	dugos
Horse	kabayo
House	balay
Human	tawo
Ideal	sulundon
Issue	isyu
Judge	maghuhukom
Knife	kutsilyo
Labor	paghago
Ladle	kutsara
Large	dako
Laugh	mukatawa
Learn	pagkat-on
Leave	mobiya
Legal	legal
Limit	utlanan
Lunch	paniudto
Metal	metal
Mixed	gisagol
Money	kwarta
Month	bulan
Mount	bukid
Mouth	baba
Music	musika
Maize	mais
Naked	hubo
Never	dili gayud
Night	gabii
Niece	pag-umangkon
Noise	kasaba
Occur	mahitabo
Ocean	kadagatan
Onion	sibuyas
Offer	tanyag
Order	order
Organ	organo
Other	uban
Owner	tag-iya
Paddy	humay
Panic	kataranta
Peace	kalinaw
Place	dapit
Plant	tanom
Price	presyo
Pride	garbo
Proud	mapahitas-on
Prove	pamatud-an
Quilt	habol
Quick	dali
Quite	medyo
Raise	pagpataas sa
Reach	abot
React	reaksiyon
Ready	andam
Reply	tubag
Right	husto
Round	lingin
Rural	banika
Saint	santos
Scope	kasangkaran
Score	iskor
Sense	pagbati
Shake	uyog
Shape	porma
Share	share
Sharp	mahait
Shrub	kahoykahoy
Skill	kahanas
Sleep	matulog
Slope	bakilid
Small	gamay
Smell	baho
Smile	pahiyom
Snake	bitin
Snore	hagok
Solid	lig-on
Sound	tingog
Space	luna
Speak	pagsulti
Speed	paspas
Spend	mogahin
Spent	gigastohan
Sperm	sperm
Sport	sport
Stand	barog
Steam	alisngaw
Stone	bato
Story	istorya
Taste	lami
Teach	pagtudlo
Teeth	ngipon
Thank	salamat
There	didto
These	kini
Thick	baga
Thing	butang
Tiger	tigre
Today	karong adlawa
Total	kinatibuk-an
Treat	pagtratar
Trend	uso
Tried	gisulayan
Trust	pagsalig
Truth	kamatuoran
Twice	makaduha
Under	ilalum
Upper	ibabaw
Urban	urban
Visit	pagbisita
Voice	tingog
Vomit	pagsuka
Waste	basura
Water	tubig
Wheat	trigo
Where	diin
White	puti
Whole	tibuok
Woman	babaye
World	kalibutan
Worst	pinakagrabe
Write	pagsulat
Wrong	sayop
Yield	abot
Young	batan-on
Youth	kabatan-onan
