Accession	pagsulod
Accessory	accessory
Accompany	kuyog
Actualize	aktuwal
Admirable	dalaygon
Advantage	bentaha
Advisable	angay
Affection	pagbati
Affiliate	kaanib
Afternoon	hapon
Aggregate	aggregate
Agreement	kasabutan
Allowance	allowance
Alternate	puli-puli
Ambiguous	dili klaro
Animation	animation
Apologist	apologist
Applicant	aplikante
Architect	arkitekto
Associate	kauban
Astronomy	astronomiya
Attention	pagtagad
Attribute	hiyas
Authority	awtoridad
Automatic	awtomatiko
Available	anaa
Awareness	kahibalo
Beautiful	gwapa
Behaviour	kinaiya
Butterfly	alibangbang
Calibrate	pag-calibrate
Candidate	kandidato
Celebrate	pagsaulog
Challenge	hagit
Confident	masaligon
Confusion	kalibog
Conscious	nakaamgo
Crocodile	buaya
Curiosity	pagkamausisaon
Dangerous	delikado
Delicious	lamian
Democracy	demokrasya
Dependent	nagsalig
Different	lainlain
Difficult	lisod
Discovery	pagkadiskobre
Dishonest	dili matinud-anon
Diversity	pagkadaiya
Duplicate	duplicate
Education	edukasyon
Effective	epektibo
Emergency	emergency
Equipment	kahimanan
Essential	importante
Establish	pagtukod
Evolution	ebolusyon
Excellent	maayo kaayo
Expensive	mahal
Fantastic	talagsaon
Fertility	pagkamabungahon
Financial	pinansyal
Generally	kasagaran
Glamorous	madanihon
Happening	nahitabo
Household	panimalay
Identical	pareha
Important	importante
Incorrect	sayop
Incorrupt	dili dunot
Influence	impluwensya
Insurance	insurance
Interview	interbyu
Intestine	tinae
Introduce	pagpaila
Invention	imbensyon
Invisible	dili makita
Irregular	dili regular
Jewellery	alahas
Knowledge	kahibalo
Liability	liability
Misbehave	sayop nga binuhatan
Narration	pagsaysay
Necessity	kinahanglanon
Negotiate	makigsabot
Nutrition	nutrisyon
Offensive	opensiba
Partition	partisyon
Political	politikal
Pollution	polusyon
Potential	potensyal
Practical	praktikal
Precision	katukma
Privilege	pribilehiyo
Procedure	pamaagi
Prominent	prominente
Professor	propesor
Promotion	promosyon
Provoking	makapasuko
Qualified	kwalipikado
Reference	pakisayran
Repulsion	pagsalikway
Residence	pinuy-anan
Sacrifice	sakripisyo
Sensitive	sensitibo
Something	usa ka butang
Statement	pahayag
Subscribe	subscribe
Substance	substansiya
Sugarcane	tubo
Sunflower	sunflower
Surrender	pagsurender
Technical	teknikal
Temporary	temporaryo
Terrorist	terorista
Treatment	pagtambal
Variation	kalainan
Vegetable	utanon
Virginity	pagkaulay
Yesterday	kagahapon
